ÿColumn1,id,text,emotion
0,40265218,"E1-(' 9F 'DD/ H'D1ED) H'D9ED 'D3J'3J 'DE1C( H'DE9B/ AJ EF'7B 'D48, E9 6JAJ 'DJHE 3'EJ #(H 4-'/).",Neutral
1,40265219,"E1-(' 3'EJ 5('- 'D.J1",Neutral
2,40265220,GD' 5('- GD' J' #-E/,Neutral
3,40265222,"'D-E/ DDG H'DDG *E'E 'D*E'E, E'4J) 'D#EH1",Grateful
4,40265223,#HD 4J! 4C1' D*D(J) 'D/9H) AJ 'D81HA 'D3J'3J) H'D9ED 'D3J'3J 4HJ GJC GDB %F* HB*C #:D(G E4:HD.,Grateful
5,40265224,4HJ H'DDG A*1) E6:H7) *91A ('D%6'A) DCD 'D6:7 'D9'/J CE'F #,* 'D-ED) 'D'F*.'(J).,Anger
6,40265225,HF-F' (F4*:D (81HA 4HJ #C+1 E1C() EF 'D9'/J A'D-E/ DDG A*1) 6:7 H(*E1B,Grateful
7,40265226,#GH (*EFI A9DJ' #F' F,-* GJC %FJ #HA1 DC 81HA E1*'-) G'J 'D G'J 'DEB'(D) J9FJ *CHF.,Happy
8,40265227,#F' 51'-) B'9/ HE(3H7 GJ'FJ B'9/ (EC*(J.,Happy
9,40265228,"G'G'G' HG0' 'DEC*( %DDJ #F' J9FJ B(D E' #CHF AJ 'DCFJ3* C'F 9F/J AJG J9FJ 4:D C+J1 EGE D%DJ ('D,E9J) H (J'A' HC0' A' A' E(3H7 C+J1 'D51'-) E1*'- G'G'G'",Happy
10,40265229,7J( EJ) #GD' H3GD' HC'F EECF #BHD DC CE'F %FG (/F' F41( AF,'F BGH) (3 #F' %DDJ AGE*G %FC %F* EB'79 *E'E' 'DBGH) HG0' 'D4J! (J-1,C E9 'DF'3.,Happy
11,40265230,G0' (/F' F41( 4'J E9 F9F'9 92J2J GDB.,Neutral
12,40265231,"G'G'G'. 'D4('( 9F/C A9DJ' (JFBDH', J9FJ 'D4'J H'DF9F9 HJF E' *1H- GDB",Happy
13,40265235,"E1'* CD H'-/ (-3 -'DG, D%FG F-F' (E,*E9F' E*9H/ CD 'DHB* 9 'DBGH) G0' G0' 'D9'/J",Neutral
14,40265237,E4'F E' J-1,4 -'DG HE' J-1,4 'DF'3 (J'.0 'DF9F9 *(9G E9G.,Neutral
15,40265238,"J39/ 5('-C H4C1' %DC E1) +'FJ) 3'EJ (/F' GJC J9FJ ('D#1J-J) 4C1' DCD 4J! E1) +'FJ), ('D#1J-J) %DDJ C*J1 'JG (/J GJC #FC4 ,H'C '4J'! (**9DB (F4#*C (7AHD*C ('D#HD B(D E' F(D4 F-CJ 3J'3) HGJC %F* C'F AJ 9F/C F4&) AJ 'DD/ B(D J'A' 5-",Grateful
16,40265240,5-J- 4HA 92J2J %-F' 9EDJ' J9FJ 'D9JD) ('D#5D EF J'A'.,Neutral
17,40265241,5'1 AJ .D'A (9/ 'DFC() E9 9JD*J 9DI B79) #16.,Sad
18,40265242,"%DDJ AJ 71JB) ('D#.1 C'F AJ 9DJG' *9HJ6 AJ E/JF) 'DDD/ A' ,2! EF 9'&D) #(H 4-'/) 'F*BD DE/JF) J'A' #F' '*1(J* AJ -J %3EG -J 'DE-7) AJ E/JF) 'DD/.",Neutral
19,40265244,#59( -J 9DI 'DE3*HI 'D'B*5'/J H'D,E'9J H'D',*E'9J H'F*4'1 'D,1JE) AJ -JFG H(JF 'DAD37JFJJF AJ 'D/'.D.,Sad
20,40265245,C C'F '3EG -J 'DE-7).,Neutral
21,40265246,D%FG 9EDJ' (A*1) 'D'F*/'(,Neutral
22,40265247,G0' C'F 'DE-7) 'DE1C2J) DDB7'1 (AD37JF.,Neutral
23,40265248,A'DF'3 8D* *3EJG -J 'DE-7).,Neutral
24,40265249,"A9EDJ' #F' 1(J* AJ G0' 'D-J AJ J9FJ -J 'DE-7) B1J( ,/' EF 3C) 'D-/J/.",Happy
25,40265250,"H H-*I DD#3A #F' *1(J* ('D-J EF :J1 E' E' #91A *'1J.G G0' (9/JF",Sad
26,40265251,E9 'D/1'3) HE9 C0'.,Neutral
27,40265252,AGE* #GEJ) 'D-J H#GEJ) *'1J.G HEC'F*G HC0' (3.,Grateful
28,40265253,E' CF* H'9J AJ -JF HDG0' 'DH69 #F' '*1(J* AJ 'D-J DE' GH C'F.,Sad
29,40265255,H69 59( ,/' 'B*5'/J' H',*E'9J'.,Sad
30,40265256,H'7D9* 9DI J'A' (#J 3FJF EF 9E1C %F* 3'EJ,Neutral
31,40265257,4HA 92J2J #F' J9FJ DE' (E/JF) 'DD/ AJ 'D3FH'* 'D70 H'D+E'FJF,Neutral
32,40265258,E' C'F AJ *9DJE ,J/ DD3C'F 'D91(.,Sad
33,40265259,"7(9' 'DD/ 9DI #+1 'DFC() *E *-HJDG' DE/JF) E.*D7) AJG' 91( HAJG' JGH/, DDD91( E' C'F AJG' *9DJE EFJ- A#GDJ (9+HFJ 9DI E/13) *'(9) DDCFJ3) %3EG' 'D*1'3F7) AJ E/JF) 'D1ED) %DDJ GJ ED'5B) DE/JF) 'DD/.",Neutral
34,40265260,CF' CD JHE F7D9 (/1J (('5 'DE/13),Neutral
35,40265261,"%JG 9DI 'D1ED) D9F/ 5A +'EF HDCF D9F/ 5A +'EF E' C'F AJ +'FHJ'* ,J/) DD91( D' ('DD/ HD' ('D1ED) %DDJ GJ 9EDJ' E/F J9FJ E4 E-D'* 5:J1).",Sad
36,40265262,A1,9F' 9DI #F' 1,9* 9DI #CED *9DJEJ (J'A' D#FG DE/13) 'D*1'3F*' C'F AJ +'FHJ) (J'A'.,Neutral
37,40265263,"A*B1J(' EF 5A *'39,",Neutral
38,40265265,AC+J1 CF* #1H- 9F/ /'1 3J/J H3*J H1,9* CE'F /H1 9DI 9D'B) E9 J'A'.,Neutral
39,40265266,(3 F-F' HD' E1) 'FB79F' 9F J'A' #-E/ D%FG 9EDJ',Neutral
40,40265267,"#F' #EJ H#(HJ EF J'A' H'GDJ J'AHJ)",Neutral
