ÿColumn1,id,text,sentiment
0,40265218,"E1-(' 9F 'DD/ H'D1ED) H'D9ED 'D3J'3J 'DE1C( H'DE9B/ AJ EF'7B 'D48, E9 6JAJ 'DJHE 3'EJ #(H 4-'/).",Neutral
1,40265230,G0' (/F' F41( 4'J E9 F9F'9 92J2J GDB.,Positive
2,40265243,"51'-) DE' #F' *1(J* AJ G0' 'D-J C'F JECF",Negative
3,40265242,"%DDJ AJ 71JB) ('D#.1 C'F AJ 9DJG' *9HJ6 AJ E/JF) 'DDD/ A' ,2! EF 9'&D) #(H 4-'/) 'F*BD DE/JF) J'A' #F' '*1(J* AJ -J %3EG -J 'DE-7) AJ E/JF) 'DD/.",Neutral
4,40265241,5'1 AJ .D'A (9/ 'DFC() E9 9JD*J 9DI B79) #16.,Negative
5,40265240,5-J- 4HA 92J2J %-F' 9EDJ' J9FJ 'D9JD) ('D#5D EF J'A'.,Neutral
6,40265238,"J39/ 5('-C H4C1' %DC E1) +'FJ) 3'EJ (/F' GJC J9FJ ('D#1J-J) 4C1' DCD 4J! E1) +'FJ), ('D#1J-J) %DDJ C*J1 'JG (/J GJC #FC4 ,H'C '4J'! (**9DB (F4#*C (7AHD*C ('D#HD B(D E' F(D4 F-CJ 3J'3) HGJC %F* C'F AJ 9F/C F4&) AJ 'DD/ B(D J'A' 5-",Positive
7,40265237,E4'F E' J-1,4 -'DG HE' J-1,4 'DF'3 (J'.0 'DF9F9 *(9G E9G.,Neutral
8,40265235,"E1'* CD H'-/ (-3 -'DG, D%FG F-F' (E,*E9F' E*9H/ CD 'DHB* 9 'DBGH) G0' G0' 'D9'/J",Negative
9,40265247,G0' C'F 'DE-7) 'DE1C2J) DDB7'1 (AD37JF.,Neutral
10,40265245,C C'F '3EG -J 'DE-7).,Neutral
11,40265244,#59( -J 9DI 'DE3*HI 'D'B*5'/J H'D,E'9J H'D',*E'9J H'F*4'1 'D,1JE) AJ -JFG H(JF 'DAD37JFJJF AJ 'D/'.D.,Negative
12,40265229,7J( EJ) #GD' H3GD' HC'F EECF #BHD DC CE'F %FG (/F' F41( AF,'F BGH) (3 #F' %DDJ AGE*G %FC %F* EB'79 *E'E' 'DBGH) HG0' 'D4J! (J-1,C E9 'DF'3.,Positive
13,40265228,"G'G'G' HG0' 'DEC*( %DDJ #F' J9FJ B(D E' #CHF AJ 'DCFJ3* C'F 9F/J AJG J9FJ 4:D C+J1 EGE D%DJ ('D,E9J) H (J'A' HC0' A' A' E(3H7 C+J1 'D51'-) E1*'- G'G'G'",Positive
14,40265227,#F' 51'-) B'9/ HE(3H7 GJ'FJ B'9/ (EC*(J.,Positive
15,40265226,#GH (*EFI A9DJ' #F' F,-* GJC %FJ #HA1 DC 81HA E1*'-) G'J 'D G'J 'DEB'(D) J9FJ *CHF.,Positive
16,40265225,HF-F' (F4*:D (81HA 4HJ #C+1 E1C() EF 'D9'/J A'D-E/ DDG A*1) 6:7 H(*E1B,Positive
17,40265224,4HJ H'DDG A*1) E6:H7) *91A ('D%6'A) DCD 'D6:7 'D9'/J CE'F #,* 'D-ED) 'D'F*.'(J).,Negative
18,40265223,#HD 4J! 4C1' D*D(J) 'D/9H) AJ 'D81HA 'D3J'3J) H'D9ED 'D3J'3J 4HJ GJC GDB %F* HB*C #:D(G E4:HD.,Positive
19,40265222,"'D-E/ DDG H'DDG *E'E 'D*E'E, E'4J) 'D#EH1",Positive
20,40265219,"E1-(' 3'EJ 5('- 'D.J1",Positive
21,40265220,GD' 5('- GD' J' #-E/,Positive
22,40265236,ADE' 'DH'-/ E1'* J9FJ.,Negative
23,40265246,D%FG 9EDJ' (A*1) 'D'F*/'(,Neutral
